id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
98356600,"Seattle Skyline Views*Walk to Space Needle*Rooftop",49585556,"Aliaksandr","Queen Anne","East Queen Anne",47.63,-122.35,"Entire home/apt",409,1,30,2024-06-14 00:00:00.000,4.25,1,261,30,"STR-OPLI-23-001295"
74123300,"Seattle studio getaway",11804029,"Melissa","Lake City","Meadowbrook",47.7,-122.3,"Entire home/apt",75,1,11,2024-06-23 00:00:00.000,3.2,1,188,11,"STR-OPLI-24-000185"
52778420,"Seattle's Downtown Luxurious! 1 Bedroom High-rise!",116610090,"Cardell","Cascade","South Lake Union",47.62,-122.33,"Entire home/apt",162,1,188,2024-06-15 00:00:00.000,5.74,1,103,64,"STR-OPLI-21-000535"
25231650,"SeattleOasis",179604920,"Alexandra","Rainier Valley","Mount Baker",47.59,-122.29,"Entire home/apt",150,1,172,2024-06-06 00:00:00.000,2.34,1,287,36,"STR-OPLI-19-001137"
53127334,"Serene City Studio",72191276,"Baylee","West Seattle","Fairmount Park",47.57,-122.37,"Entire home/apt",141,1,109,2024-06-20 00:00:00.000,4.04,1,164,33,"STR-OPLI-22-000613"
64414500,"Serene Seattle Bungalow: One block from beach",16876672,"Joely","West Seattle","Fauntleroy",47.53,-122.39,"Entire home/apt",165,1,174,2024-06-18 00:00:00.000,7.12,1,100,75,"STR-OPLI-22-000963"
77054300,"Serene and Relaxing Guest Suite in Seattle",24583119,"M","Other neighborhoods","Laurelhurst",47.67,-122.28,"Entire home/apt",257,1,7,2023-11-25 00:00:00.000,0.47,1,52,3,"STR-OPLI-22-001902"
10697500,"Simple Scandinavian Stay - 92 walk score!",18141906,"Nick","Ballard","Adams",47.68,-122.38,"Entire home/apt",125,1,18,2024-06-23 00:00:00.000,12,1,3,18,"STR-OPLI-24-000388"
91468400,"Sleeping Uptown with a view!",520241527,"Katrina","Queen Anne","Lower Queen Anne",47.62,-122.35,"Entire home/apt",165,1,9,2024-06-08 00:00:00.000,0.78,1,21,9,"STR-OPLI-23-000780"
10369700,"Smart Stay with Modern Amenities",303367868,"Mariam","Ballard","Sunset Hill",47.69,-122.39,"Entire home/apt",300,1,4,2024-06-23 00:00:00.000,0.61,1,178,4,"STR-OPLI-23-001486"
11770400,"Space Needle, Water, Mountain and City Views",25553203,"Linna And Marlo","Cascade","Eastlake",47.64,-122.33,"Entire home/apt",339,1,198,,198.2133333,1,147,198,"STR-OPLI-24-000495"
30161231,"Spacious 2BR Backyard Cottage w Vaulted Ceilings",50487726,"Abigail & Justin","West Seattle","Fairmount Park",47.55,-122.38,"Entire home/apt",263,1,209,2023-09-22 00:00:00.000,3.13,1,72,23,"STR-OPLI-19-001448"
19115007,"Spacious 3BR MCM home near UW",29664875,"Christine","Other neighborhoods","View Ridge",47.68,-122.28,"Entire home/apt",140,1,252,2024-06-17 00:00:00.000,2.94,1,279,43,"STR-OPLI-19-002504"
33252187,"Spacious Garden Apartment",593515,"Sarah","Capitol Hill","Broadway",47.63,-122.32,"Entire home/apt",137,1,205,2024-06-11 00:00:00.000,3.44,1,44,47,"STR-OPLI-19-001168"
16027121,"Spacious Magnolia Studio Minutes from Downtown",1806062,"Nathan","Magnolia","Southeast Magnolia",47.65,-122.38,"Entire home/apt",182,1,202,2024-06-07 00:00:00.000,2.18,1,291,28,"STR-OPLI-19-002470"
55139700,"Spacious Modern 1-BR",27441325,"Sam","Beacon Hill","Mid-Beacon Hill",47.57,-122.31,"Entire home/apt",155,1,202,2024-06-21 00:00:00.000,10.63,1,264,124,"STR-OPLI-22-001314"
63108500,"Spacious Phinney Ridge/Ballard home",47132895,"Judith","Other neighborhoods","Phinney Ridge",47.68,-122.36,"Entire home/apt",198.21,1,78,2024-03-31 00:00:00.000,3.14,1,198,31,"STR-OPLI-22-000847"
10320100,"Spacious Private Spa Experience + Great Location",549146865,"Britt-Anett","Ballard","Adams",47.67,-122.4,"Entire home/apt",115,1,65,2024-06-23 00:00:00.000,9.47,1,45,65,"STR-OPLI-23-001201"
98398600,"Spacious Vintage One BR-Capitol",10555118,"John","Capitol Hill","Broadway",47.62,-122.33,"Entire home/apt",147,1,53,2024-06-15 00:00:00.000,5.93,1,332,53,"STR-OPLI-21-001208"
77403800,"SteamGlam Haven",419084235,"Joanna","West Seattle","North Admiral",47.58,-122.38,"Entire home/apt",179,1,198,,198.2133333,1,256,198,"STR-OPLI-24-000343"
67915700,"Step Back in Time",471557542,"Malinda","West Seattle","Fairmount Park",47.55,-122.38,"Entire home/apt",159,1,18,2024-06-20 00:00:00.000,2.13,1,135,18,"STR-OPLI-23-001077"
23060625,"Stroll to Pikes Market Waterfront Condo With Balcony",171175671,"Shirley","Downtown","Pike-Market",47.61,-122.34,"Entire home/apt",212,1,390,2024-06-09 00:00:00.000,5.19,1,249,51,"STR-OPLI-23-000427"
90960400,"Studio apartment by university",59649774,"Heather","University District","University District",47.66,-122.32,"Entire home/apt",100,1,2,2024-06-23 00:00:00.000,0.16,1,42,1,"STR-OPLI-23-734666"
92039600,"Studio apartment by university",154122497,"Mia","University District","University District",47.66,-122.32,"Entire home/apt",100,1,2,2024-06-17 00:00:00.000,0.24,1,124,2,"STR-OPLI-23-734888"
21010058,"Studio/open plan 2 beds 1 bath",3105372,"Eleanora","Other neighborhoods","Green Lake",47.67,-122.32,"Entire home/apt",108,1,381,2024-06-23 00:00:00.000,4.96,1,19,98,"STR-OPLI-20-001239"
36603045,"Stunning Capitol Hill View Apartment",275133079,"Dan","Capitol Hill","Broadway",47.62,-122.31,"Entire home/apt",164,1,572,2024-06-23 00:00:00.000,9.58,1,107,91,"STR-OPLI-19-000698"
10081600,"Stunning Downtown Seattle Flat with City Views",233534137,"Chris","Downtown","Pike-Market",47.61,-122.34,"Entire home/apt",166,1,32,2024-06-08 00:00:00.000,4.38,1,111,32,"STR-OPLI-20-000043"
7886645,"Stunning Greenlake Private Suite. Big Soaker Tub!",10809703,"Kelsey","Other neighborhoods","Green Lake",47.67,-122.32,"Entire home/apt",137,1,712,2024-06-16 00:00:00.000,7.52,1,108,108,"STR-OPLI-19-001484"
38779774,"Stunning Remodeled Apartment near SeaTac Airport!",56014166,"Mara","Rainier Valley","Rainier View",47.51,-122.26,"Entire home/apt",225,1,102,2023-09-25 00:00:00.000,1.77,1,268,10,"STR-OPLI-20-000885"
10797600,"Stunning Townhouse 3b/2.5ba w parking in Seattle",557911857,"Phuong Khanh","Ballard","Whittier Heights",47.68,-122.38,"Entire home/apt",260,1,2,2024-05-06 00:00:00.000,1.03,1,205,2,"STR-OPLI-24-000200"
10762300,"Stylish Capitol Hill Townhome with Free Parking!",558411426,"Elise","Capitol Hill","Stevens",47.62,-122.31,"Entire home/apt",198.21,1,5,2024-04-20 00:00:00.000,1.22,1,198,5,"STR-OPLI-24-000002"
36471906,"Stylish Micro Flat & 'Sweet' in Heart of Ballard",3279732,"Stacy","Ballard","Adams",47.67,-122.39,"Entire home/apt",146,1,281,2024-06-19 00:00:00.000,4.66,1,58,44,"STR-OPLI-19-002614"
4129218,"Stylish Studio, Lives like 1 BR w/ Full Kitchen",19294641,"Derek","Capitol Hill","Broadway",47.62,-122.32,"Entire home/apt",142,1,423,2024-06-21 00:00:00.000,4.07,1,103,34,"STR-OPLI-19-003013"
11067100,"Stylish, Close to Climate Pledge & ADA accessible",84890200,"Jay","Queen Anne","Lower Queen Anne",47.62,-122.36,"Entire home/apt",162,1,19,2024-06-19 00:00:00.000,6.71,1,112,19,"STR-OPLI-24-000334"
51822515,"Suburbal Cottage 20 Minutes From Major PNW Sites",419818613,"Thomas","Lake City","Olympic Hills",47.73,-122.3,"Entire home/apt",182,1,20,2024-06-09 00:00:00.000,0.59,1,159,6,"STR-OPLI-21-000821"
95905000,"Suburban Spa Oasis",516736346,"Dan","Beacon Hill","Mid-Beacon Hill",47.55,-122.3,"Entire home/apt",145,1,78,2024-06-23 00:00:00.000,8.97,1,225,78,"STR-OPLI-23-001241"
53603347,"Sunny 1 bedroom in Ballard",24117176,"Shoshana","Ballard","Whittier Heights",47.68,-122.37,"Entire home/apt",140,1,44,2024-02-27 00:00:00.000,1.86,1,252,16,"STR-OPLI-22-001191"
21080282,"Sunny Tiny House, Deck, Parking and Garden",43966654,"Jon & Barb","Magnolia","Southeast Magnolia",47.65,-122.38,"Entire home/apt",85,1,862,2024-06-18 00:00:00.000,10.6,1,31,143,"STR-OPLI-19-001082"
55019200,"SunnySide Loft- Close to Town, Relaxing, Cozy",48983579,"Danielle","Other neighborhoods","Green Lake",47.69,-122.33,"Entire home/apt",95,1,136,2024-06-23 00:00:00.000,4.7,1,28,63,"STR-OPLI-20-000448"
66328800,"Sunset views with private terrace on Queen Anne",467523634,"Sydney","Queen Anne","North Queen Anne",47.64,-122.37,"Entire home/apt",282,1,78,2024-06-01 00:00:00.000,3.47,1,311,35,"STR-OPLI-22-001226"
