listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
15164797,2024-06-24 00:00:00.000,"f",125,0,2,1125
15381188,2024-06-24 00:00:00.000,"t",599,0,2,1125
15407769,2024-06-24 00:00:00.000,"f",100,0,2,1125
15438530,2024-06-25 00:00:00.000,"f",198,0,2,1125
15456841,2024-06-25 00:00:00.000,"f",345,0,2,1125
15482578,2024-06-25 00:00:00.000,"f",120,0,2,1125
15537773,2024-06-24 00:00:00.000,"f",99,0,2,1125
15550339,2024-06-24 00:00:00.000,"f",298,0,2,1125
15776053,2024-06-25 00:00:00.000,"f",100,0,2,1125
15816866,2024-06-24 00:00:00.000,"f",175,0,2,1125
15832847,2024-06-25 00:00:00.000,"f",135,0,2,1125
15975033,2024-06-24 00:00:00.000,"f",55,0,2,1125
16000099,2024-06-25 00:00:00.000,"f",80,0,2,1125
16000287,2024-06-25 00:00:00.000,"f",199,0,2,1125
16000373,2024-06-25 00:00:00.000,"f",150,0,2,1125
16334559,2024-06-24 00:00:00.000,"f",120,0,2,1125
16407622,2024-06-24 00:00:00.000,"f",225,0,2,1125
16516756,2024-06-24 00:00:00.000,"f",149,0,2,1125
16619811,2024-06-25 00:00:00.000,"f",115,0,2,1125
16635898,2024-06-24 00:00:00.000,"f",399,0,2,1125
16650097,2024-06-25 00:00:00.000,"f",109,0,2,1125
16690527,2024-06-24 00:00:00.000,"f",70,0,2,1125
16807494,2024-06-24 00:00:00.000,"f",135,0,2,1125
16900385,2024-06-25 00:00:00.000,"f",85,0,2,1125
16928699,2024-06-24 00:00:00.000,"f",100,0,2,1125
17094436,2024-06-24 00:00:00.000,"f",115,0,2,1125
17178460,2024-06-24 00:00:00.000,"t",51,0,2,1125
17221609,2024-06-24 00:00:00.000,"f",91,0,2,1125
17243214,2024-06-25 00:00:00.000,"f",100,0,2,1125
17345311,2024-06-25 00:00:00.000,"f",200,0,2,1125
17445861,2024-06-25 00:00:00.000,"t",283,0,2,1125
17463195,2024-06-24 00:00:00.000,"f",135,0,2,1125
17483515,2024-06-25 00:00:00.000,"f",134,0,2,1125
17514702,2024-06-25 00:00:00.000,"t",150,0,2,1125
17585489,2024-06-24 00:00:00.000,"f",89,0,2,1125
